id,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2424,11877.97974,488.682,04N2K1,2016/1/10 13:49,8PSK,559.028,0,·ñ,·ñ,,,NA,,NA
2425,19510.7535,47.455,04B6K2,2016/1/10 23:12,,NA,NA,,,,,NA,,NA
2426,20565.73535,553.006,04N2K1,2016/2/5 12:04,QPSK,595.506,0,·ñ,·ñ,,,NA,,NA
2427,20569.00684,259.222,04N2K1,2016/1/10 22:41,QPSK,98.621,0,·ñ,·ñ,,,NA,,NA
2428,20552.79883,250.356,04N2K1,2016/1/12 14:07,8PSK,181.53,0,·ñ,·ñ,,,NA,,NA
2429,11735.73389,63.79,04N2K1,2016/1/28 18:21,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2430,19615.82227,62.264,04N2K1,2016/1/7 11:01,QPSK,49.943,0,·ñ,·ñ,,,NA,,NA
2431,19464.39746,61.207,04N2K1,2016/1/7 11:01,QPSK,44.938,0,·ñ,·ñ,,,NA,,NA
2432,11691.49805,112.729,04B6K2,2016/1/10 23:12,,NA,NA,,,,,NA,,NA
2433,20600.56055,404.826,04N2K1,2016/2/5 11:35,QPSK,537.599,768000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
2434,19082,139.855,04N2K1,2016/1/7 11:01,8PSK,85.016,0,·ñ,·ñ,,,NA,,NA
2435,19469.625,61.786,04N2K1,2016/1/7 11:01,QPSK,33.101,0,·ñ,·ñ,,,NA,,NA
2436,19615.82227,62.264,04N2K1,2016/1/7 11:01,8PSK,59.227,0,·ñ,·ñ,,,NA,,NA
2437,20746.00098,659.173,04N2K1,2016/1/7 11:01,16QAM,550.556,0,·ñ,·ñ,,,NA,,NA
2438,20691.69043,480.717,04N2K1,2016/1/7 11:01,QPSK,200.765,0,·ñ,·ñ,,,NA,,NA
2439,11631.29736,26370.248,04N2K1,2016/1/15 4:53,8PSK,38341.452,0,·ñ,·ñ,,,NA,,NA
2440,20575.40137,255.539,04N2K1,2016/1/24 15:01,QPSK,132.574,0,·ñ,·ñ,,,NA,,NA
2441,19469.45703,69.74,04N2K1,2016/1/7 11:01,QPSK,56.137,0,·ñ,·ñ,,,NA,,NA
2442,19535.00098,34.194,04N2K1,2016/1/7 11:01,8PSK,37.65,0,·ñ,·ñ,,,NA,,NA
2443,19465.23633,69.838,04N2K1,2016/1/7 11:01,QPSK,106.027,0,·ñ,·ñ,,,NA,,NA
2444,19464.46191,66.448,04N2K1,2016/1/7 11:01,8PSK,98.412,0,·ñ,·ñ,,,NA,,NA
2445,19605.15911,137.619,04N2K1,2016/1/7 11:01,8PSK,90.695,0,·ñ,·ñ,,,NA,,NA
2446,20598.47852,518.742,04B6K2,2016/1/9 20:36,QPSK,496.175,0,·ñ,·ñ,,,NA,,NA
2447,12171.46387,71.92,04N2K1,2016/1/12 18:08,QPSK,85.332,128000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
2448,20588.65038,246.765,04N2K1,2016/1/16 3:07,8PSK,347.908,0,·ñ,·ñ,,,NA,,NA
2449,20567.40234,260.075,04N2K1,2016/1/10 13:58,QPSK,186.381,0,·ñ,·ñ,,,NA,,NA
2450,20565.73535,553.006,04N2K1,2016/1/10 13:58,8PSK,465.626,0,·ñ,·ñ,,,NA,,NA
2451,20566.2041,254.932,04N2K1,2016/1/11 14:49,QPSK,104.554,0,·ñ,·ñ,,,NA,,NA
2452,20554.65421,264.798,04N2K1,2016/1/22 22:30,8PSK,140.212,0,·ñ,·ñ,,,NA,,NA
2453,11910.91895,173.232,04N2K1,2016/2/2 12:16,BPSK,178.653,0,·ñ,·ñ,,,NA,,NA
2454,11553.84399,22.535,04B6K2,2016/1/10 17:19,,0,0,,,ÊÇ,,NA,,NA
2455,19469.45703,69.74,04N2K1,2016/1/7 11:01,QPSK,37.681,0,·ñ,·ñ,,,NA,,NA
2456,19535.00098,34.194,04N2K1,2016/1/7 11:01,QPSK,47.146,0,·ñ,·ñ,,,NA,,NA
2457,19543.12995,448.923,04N2K1,2016/1/7 11:01,8PSK,151.967,0,·ñ,·ñ,,,NA,,NA
2458,20601.63965,522.31,04B6K2,2016/1/9 20:36,QPSK,432.616,0,·ñ,·ñ,,,NA,,NA
2459,11951.08447,158.133,04N2K1,2016/1/10 19:39,8PSK,182.042,0,·ñ,·ñ,,,NA,,NA
